Period,Group,Sender,Time,ClientTime,Key,Value
0,0,admin,1462667506670646909,1462667506830,__page_loaded__,
0,0,admin,1462667517904503417,1462667518066,__set_config__,
0,0,admin,1462667521527975712,1462667521684,__set_config__,
0,0,2,1462667521682973330,0,__register__,"{""user_id"": ""2""}"
0,1,2,1462667521704192623,1462667521863,__set_group__,"{""group"": 1}"
0,0,2,1462667521708794779,1462667521868,__page_loaded__,
0,0,1,1462667522681639079,0,__register__,"{""user_id"": ""1""}"
0,1,1,1462667522703428038,1462667522861,__set_group__,"{""group"": 1}"
0,1,2,1462667522703872777,1462667522861,__set_group__,"{""group"": 1}"
0,0,1,1462667522707937052,1462667522867,__page_loaded__,
0,0,admin,1462667530010669772,1462667530172,start_session,
0,0,1,1462667530027406922,1462667530189,__set_period__,"{""period"": 0}"
0,0,2,1462667530032020329,1462667530189,__set_period__,"{""period"": 0}"
0,0,2,1462667530048743269,1462667530210,__set_page__,"{""page"": ""Wait""}"
0,0,1,1462667530048989561,1462667530207,__set_page__,"{""page"": ""Wait""}"
0,0,1,1462667530782648620,1462667530940,__page_loaded__,
0,0,2,1462667531009006401,1462667531167,__page_loaded__,
0,1,1,1462667531026690580,1462667531189,_at_barrier,_on_load_0
0,1,2,1462667531026816459,1462667531189,_at_barrier,_on_load_0
0,0,2,1462667531046756525,1462667531209,_next_period,
0,1,2,1462667531063253319,1462667531225,_accumulated_points,0
1,0,2,1462667531063377712,1462667531226,__set_period__,"{""period"": 1}"
1,0,2,1462667531083504361,1462667531242,__set_page__,"{""page"": ""Start""}"
0,0,1,1462667531363296936,1462667531522,_next_period,
0,1,1,1462667531385898397,1462667531544,_accumulated_points,0
1,0,1,1462667531386054569,1462667531544,__set_period__,"{""period"": 1}"
1,0,1,1462667531413835106,1462667531573,__set_page__,"{""page"": ""Start""}"
1,0,2,1462667531718830984,1462667531878,__page_loaded__,
1,0,1,1462667531829226373,1462667531988,__page_loaded__,
1,1,2,1462667531844768253,1462667532008,_at_barrier,_on_load_1
1,1,1,1462667531844950627,1462667532008,_at_barrier,_on_load_1
1,1,2,1462667531864160491,1462667532026,LOG_CONFIG,"{""q1"": ""2/3"", ""mu"": 100, ""maxX"": 10, ""q2"": ""1/3"", ""ymax"": 1000, ""period_length_s"": 10, ""payoff"": ""stable"", ""period"": 1, ""payoffProjection"": true, ""minX"": 0, ""ymin"": 0, ""step"": 0.1, ""hidePayoffs"": true, ""groups"": [[1, 2, 3, 4], [5, 6, 7, 8]], ""snap"": 0, ""payoffLabel"": ""A"", ""initialActions"": ""[.25,.5,.75,1,1.25,1.5,1.75]"", ""adjustAccuracy"": 0.01, ""actionHistory"": true, ""num_sub_periods"": 5}"
1,1,2,1462667531923368538,1462667532086,_at_barrier,_timer_1_t_0_1
1,1,1,1462667531928065466,1462667532087,_at_barrier,_timer_1_t_0_1
1,1,1,1462667531998347314,1462667532158,endofsubperiod,{}
1,1,1,1462667531998531199,1462667532158,__set_points__,"{""points"": 6.666666666666665, ""period"": 1}"
1,1,1,1462667531998668383,1462667532160,state,"{""state"": [{""target"": 0.25, ""subjectid"": ""1"", ""rank"": 1, ""action"": 0.25, ""subperiodNumber"": 0, ""payoff"": 33.33333333333333}, {""target"": 0.5, ""subjectid"": ""2"", ""rank"": 2, ""action"": 0.5, ""subperiodNumber"": 0, ""payoff"": 33.33333333333333}]}"
1,1,1,1462667531998820588,1462667532160,actions,"{""actions"": [0.25, 0.5]}"
1,1,1,1462667532002612040,1462667532160,targets,"{""targets"": [0.25, 0.5]}"
1,1,2,1462667532002734397,1462667532162,endofsubperiod,{}
1,1,2,1462667532002823245,1462667532162,__set_points__,"{""points"": 6.666666666666665, ""period"": 1}"
1,1,2,1462667532200964716,1462667532363,_at_barrier,_timer_1_t_1_1
1,1,1,1462667532217494408,1462667532380,_at_barrier,_timer_1_t_1_1
1,1,1,1462667532433580067,1462667532595,_at_barrier,_timer_1_t_2_1
1,1,2,1462667532448155978,1462667532611,_at_barrier,_timer_1_t_2_1
1,1,1,1462667532668689213,1462667532831,_at_barrier,_timer_1_t_3_1
1,1,2,1462667532688281695,1462667532846,_at_barrier,_timer_1_t_3_1
1,1,1,1462667532904542583,1462667533066,_at_barrier,_timer_1_t_4_1
1,1,2,1462667532919863530,1462667533082,_at_barrier,_timer_1_t_4_1
1,1,1,1462667533136169722,1462667533298,_at_barrier,_timer_1_t_5_1
1,1,2,1462667533151421031,1462667533315,_at_barrier,_timer_1_t_5_1
1,1,1,1462667533366313976,1462667533529,_at_barrier,_timer_1_t_6_1
1,1,2,1462667533387262586,1462667533545,_at_barrier,_timer_1_t_6_1
1,1,1,1462667533613076968,1462667533766,_at_barrier,_timer_1_t_7_1
1,1,2,1462667533640496443,1462667533796,_at_barrier,_timer_1_t_7_1
1,1,1,1462667533778167012,1462667533939,updateAction,"{""action"": 3.8}"
1,1,1,1462667533778408281,1462667533939,updateAction,"{""action"": 3.8}"
1,1,1,1462667533856837864,1462667534019,updateAction,"{""action"": 3.8}"
1,1,1,1462667533857074042,1462667534019,updateAction,"{""action"": 3.8}"
1,1,1,1462667533862337944,1462667534020,_at_barrier,_timer_1_t_8_1
1,1,2,1462667533876840292,1462667534040,_at_barrier,_timer_1_t_8_1
1,1,1,1462667534093065288,1462667534255,_at_barrier,_timer_1_t_9_1
1,1,2,1462667534109247658,1462667534272,_at_barrier,_timer_1_t_9_1
1,1,1,1462667534325141647,1462667534488,_at_barrier,_timer_1_t_10_1
1,1,2,1462667534339896505,1462667534503,_at_barrier,_timer_1_t_10_1
1,1,2,1462667534359797225,1462667534518,endofsubperiod,{}
1,1,2,1462667534359933889,1462667534518,__set_points__,"{""points"": 13.33333333333333, ""period"": 1}"
1,1,1,1462667534360163169,1462667534517,endofsubperiod,{}
1,1,1,1462667534360264634,1462667534517,__set_points__,"{""points"": 18.666666666666664, ""period"": 1}"
1,1,1,1462667534360379850,1462667534518,state,"{""state"": [{""target"": 3.8, ""subjectid"": ""1"", ""rank"": 1, ""action"": 0.5499999999999999, ""subperiodNumber"": 1, ""payoff"": 36.66666666666666}, {""target"": 0.5, ""subjectid"": ""2"", ""rank"": 2, ""action"": 0.5, ""subperiodNumber"": 1, ""payoff"": 66.66666666666666}]}"
1,1,1,1462667534360537623,1462667534518,actions,"{""actions"": [0.5499999999999999, 0.5]}"
1,1,1,1462667534360656140,1462667534518,targets,"{""targets"": [3.8, 0.5]}"
1,1,1,1462667534555590378,1462667534718,_at_barrier,_timer_1_t_11_1
1,1,2,1462667534580093089,1462667534735,_at_barrier,_timer_1_t_11_1
1,1,2,1462667534795564701,1462667534959,_at_barrier,_timer_1_t_12_1
1,1,1,1462667534810489344,1462667534973,_at_barrier,_timer_1_t_12_1
1,1,2,1462667535025828349,1462667535189,_at_barrier,_timer_1_t_13_1
1,1,1,1462667535048168228,1462667535203,_at_barrier,_timer_1_t_13_1
1,1,2,1462667535263019435,1462667535426,_at_barrier,_timer_1_t_14_1
