Period,Group,Sender,Time,ClientTime,Key,Value
0,0,admin,1460075092126111959,1460069030379,__set_config__,
0,0,admin,1460075093657275260,1460075093589,__page_loaded__,
0,0,2,1460075095103790557,0,__register__,"{""user_id"": ""2""}"
0,0,2,1460075095273773166,1460075095204,__page_loaded__,
0,1,2,1460075095274041251,1460075095202,__set_group__,"{""group"": 1}"
0,0,4,1460075095442537381,0,__register__,"{""user_id"": ""4""}"
0,1,2,1460075095617720948,1460075095547,__set_group__,"{""group"": 1}"
0,1,4,1460075095618120325,1460075095547,__set_group__,"{""group"": 1}"
0,0,4,1460075095631619694,1460075095563,__page_loaded__,
0,0,1,1460075095785108559,0,__register__,"{""user_id"": ""1""}"
0,1,1,1460075095957698846,1460075095886,__set_group__,"{""group"": 1}"
0,1,2,1460075095958160358,1460075095886,__set_group__,"{""group"": 1}"
0,1,4,1460075095958592060,1460075095886,__set_group__,"{""group"": 1}"
0,0,1,1460075095967798748,1460075095895,__page_loaded__,
0,0,3,1460075096131085517,0,__register__,"{""user_id"": ""3""}"
0,0,3,1460075096304223638,1460075096234,__page_loaded__,
0,1,1,1460075096304618159,1460075096233,__set_group__,"{""group"": 1}"
0,1,2,1460075096305097545,1460075096233,__set_group__,"{""group"": 1}"
0,1,3,1460075096305511803,1460075096233,__set_group__,"{""group"": 1}"
0,1,4,1460075096305938481,1460075096233,__set_group__,"{""group"": 1}"
0,0,admin,1460075100814819948,1460075100738,start_session,
0,0,1,1460075100980812263,1460075100911,__set_period__,"{""period"": 0}"
0,0,2,1460075100981228965,1460075100911,__set_period__,"{""period"": 0}"
0,0,3,1460075100981599042,1460075100911,__set_period__,"{""period"": 0}"
0,0,4,1460075100981942421,1460075100911,__set_period__,"{""period"": 0}"
0,0,1,1460075101158593295,1460075101076,__set_page__,"{""page"": ""Wait""}"
0,0,4,1460075101164340067,1460075101080,__set_page__,"{""page"": ""Wait""}"
0,0,3,1460075101164761547,1460075101082,__set_page__,"{""page"": ""Wait""}"
0,0,2,1460075101165119072,1460075101082,__set_page__,"{""page"": ""Wait""}"
0,0,4,1460075104445937931,1460075104373,__page_loaded__,
0,0,3,1460075104783064864,1460075104711,__page_loaded__,
0,0,1,1460075105128672071,1460075105057,__page_loaded__,
0,0,2,1460075105475803417,1460075105405,__page_loaded__,
0,1,3,1460075105638375318,1460075105569,_at_barrier,_on_load_0
0,1,4,1460075105644072578,1460075105572,_at_barrier,_on_load_0
0,1,1,1460075105644362639,1460075105573,_at_barrier,_on_load_0
0,1,2,1460075105644622391,1460075105572,_at_barrier,_on_load_0
0,0,2,1460075105817365532,1460075105747,_next_period,
0,0,3,1460075105817549611,1460075105745,_next_period,
0,0,1,1460075105936881166,1460075105869,_next_period,
0,0,4,1460075105937052918,1460075105869,_next_period,
0,1,2,1460075105985376420,1460075105913,_accumulated_points,0
1,0,2,1460075105985645295,1460075105913,__set_period__,"{""period"": 1}"
0,1,3,1460075105986065274,1460075105912,_accumulated_points,0
1,0,3,1460075105986246731,1460075105912,__set_period__,"{""period"": 1}"
0,1,1,1460075106105004297,1460075106035,_accumulated_points,0
1,0,1,1460075106105354841,1460075106035,__set_period__,"{""period"": 1}"
0,1,4,1460075106105781910,1460075106035,_accumulated_points,0
