Period,Group,Sender,Time,ClientTime,Key,Value
0,0,admin,1464635223764615650,1464635189698,__set_config__,
0,0,4,1464635224907534696,0,__register__,"{""user_id"": ""4""}"
0,0,4,1464635225080947504,1464635222186,__page_loaded__,
0,0,admin,1464635225435974037,1464635222540,__page_loaded__,
0,0,1,1464635225595249126,0,__register__,"{""user_id"": ""1""}"
0,1,4,1464635225606941637,1464635222710,__set_group__,"{""group"": 1}"
0,1,1,1464635225764560224,1464635222871,__set_group__,"{""group"": 1}"
0,1,4,1464635225764810723,1464635222871,__set_group__,"{""group"": 1}"
0,0,1,1464635225764976023,1464635222873,__page_loaded__,
0,0,2,1464635226585086425,0,__register__,"{""user_id"": ""2""}"
0,1,1,1464635226755983600,1464635223859,__set_group__,"{""group"": 1}"
0,1,2,1464635226756321998,1464635223859,__set_group__,"{""group"": 1}"
0,1,4,1464635226756576872,1464635223859,__set_group__,"{""group"": 1}"
0,0,2,1464635226766925037,1464635223873,__page_loaded__,
0,0,3,1464635226930030622,0,__register__,"{""user_id"": ""3""}"
0,0,3,1464635227102261773,1464635224208,__page_loaded__,
0,1,1,1464635227102537341,1464635224208,__set_group__,"{""group"": 1}"
0,1,2,1464635227102781021,1464635224208,__set_group__,"{""group"": 1}"
0,1,3,1464635227103030994,1464635224208,__set_group__,"{""group"": 1}"
0,1,4,1464635227103274565,1464635224208,__set_group__,"{""group"": 1}"
0,0,admin,1464635228148257766,1464635225257,start_session,
0,0,1,1464635228313048002,1464635225420,__set_period__,"{""period"": 0}"
0,0,2,1464635228313371873,1464635225420,__set_period__,"{""period"": 0}"
0,0,3,1464635228313644072,1464635225420,__set_period__,"{""period"": 0}"
0,0,4,1464635228313850094,1464635225420,__set_period__,"{""period"": 0}"
0,0,4,1464635228481963531,1464635225586,__set_page__,"{""page"": ""Wait""}"
0,0,3,1464635228482283519,1464635225586,__set_page__,"{""page"": ""Wait""}"
0,0,1,1464635228482556295,1464635225588,__set_page__,"{""page"": ""Wait""}"
0,0,2,1464635228482831055,1464635225588,__set_page__,"{""page"": ""Wait""}"
0,0,4,1464635229803073978,1464635226909,__page_loaded__,
0,0,2,1464635230871046281,1464635227976,__page_loaded__,
0,0,1,1464635231257905525,1464635228364,__page_loaded__,
0,0,3,1464635231575446444,1464635228681,__page_loaded__,
0,1,3,1464635231738089638,1464635228847,_at_barrier,_on_load_0
0,1,2,1464635231743132804,1464635228848,_at_barrier,_on_load_0
0,1,4,1464635231743234799,1464635228849,_at_barrier,_on_load_0
0,1,1,1464635231753746437,1464635228863,_at_barrier,_on_load_0
0,0,1,1464635231937788119,1464635229044,_next_period,
0,0,4,1464635232118508415,1464635229225,_next_period,
0,1,1,1464635232124198846,1464635229231,_accumulated_points,0
1,0,1,1464635232124328775,1464635229232,__set_period__,"{""period"": 1}"
0,1,4,1464635232300250172,1464635229405,_accumulated_points,0
1,0,4,1464635232300448629,1464635229405,__set_period__,"{""period"": 1}"
1,0,1,1464635232305348469,1464635229411,__set_page__,"{""page"": ""Start""}"
0,0,2,1464635232418137276,1464635229526,_next_period,
0,0,3,1464635232418304260,1464635229527,_next_period,
1,0,4,1464635232463973647,1464635229573,__set_page__,"{""page"": ""Start""}"
0,1,2,1464635232590526727,1464635229693,_accumulated_points,0
1,0,2,1464635232590707222,1464635229693,__set_period__,"{""period"": 1}"
0,1,3,1464635232590943147,1464635229693,_accumulated_points,0
1,0,3,1464635232591086694,1464635229693,__set_period__,"{""period"": 1}"
1,0,3,1464635232758685880,1464635229864,__set_page__,"{""page"": ""Start""}"
1,0,2,1464635232758914339,1464635229864,__set_page__,"{""page"": ""Start""}"
1,0,2,1464635234920230411,1464635232027,__page_loaded__,
1,0,3,1464635235264511440,1464635232371,__page_loaded__,
1,0,1,1464635235607444079,1464635232712,__page_loaded__,
1,0,4,1464635235980742907,1464635233089,__page_loaded__,
1,1,2,1464635236143479865,1464635233252,_at_barrier,_on_load_1
1,1,1,1464635236149030248,1464635233253,_at_barrier,_on_load_1
1,1,3,1464635236149207644,1464635233255,_at_barrier,_on_load_1
1,1,4,1464635236158178525,1464635233267,_at_barrier,_on_load_1
