Period,Group,Sender,Time,ClientTime,Key,Value
0,0,admin,1464635674027068572,1464635669711,__set_config__,
0,0,1,1464635675293284452,0,__register__,"{""user_id"": ""1""}"
0,0,1,1464635675462608563,1464635672574,__page_loaded__,
0,0,admin,1464635675910442249,1464635673022,__page_loaded__,
0,1,1,1464635676074066233,1464635673185,__set_group__,"{""group"": 1}"
0,0,3,1464635676579897318,0,__register__,"{""user_id"": ""3""}"
0,1,1,1464635676743232623,1464635673854,__set_group__,"{""group"": 1}"
0,1,3,1464635676743471706,1464635673854,__set_group__,"{""group"": 1}"
0,0,3,1464635676754935187,1464635673865,__page_loaded__,
0,0,2,1464635676924939861,0,__register__,"{""user_id"": ""2""}"
0,1,1,1464635677092900710,1464635674201,__set_group__,"{""group"": 1}"
0,1,2,1464635677093124340,1464635674201,__set_group__,"{""group"": 1}"
0,1,3,1464635677093301943,1464635674201,__set_group__,"{""group"": 1}"
0,0,2,1464635677097678771,1464635674205,__page_loaded__,
0,0,4,1464635677270996279,0,__register__,"{""user_id"": ""4""}"
0,1,1,1464635677443964713,1464635674549,__set_group__,"{""group"": 1}"
0,1,2,1464635677444203253,1464635674549,__set_group__,"{""group"": 1}"
0,1,3,1464635677444389246,1464635674549,__set_group__,"{""group"": 1}"
0,1,4,1464635677444569185,1464635674549,__set_group__,"{""group"": 1}"
0,0,4,1464635677448343910,1464635674556,__page_loaded__,
0,0,admin,1464635678262208183,1464635675374,start_session,
0,0,1,1464635678426554590,1464635675537,__set_period__,"{""period"": 0}"
0,0,2,1464635678426794773,1464635675537,__set_period__,"{""period"": 0}"
0,0,3,1464635678426987425,1464635675537,__set_period__,"{""period"": 0}"
0,0,4,1464635678427173397,1464635675537,__set_period__,"{""period"": 0}"
0,0,1,1464635678597676647,1464635675704,__set_page__,"{""page"": ""Wait""}"
0,0,3,1464635678597934852,1464635675704,__set_page__,"{""page"": ""Wait""}"
0,0,4,1464635678598127910,1464635675704,__set_page__,"{""page"": ""Wait""}"
0,0,2,1464635678598313496,1464635675705,__set_page__,"{""page"": ""Wait""}"
0,0,1,1464635680009998221,1464635677117,__page_loaded__,
0,0,2,1464635680563576660,1464635677671,__page_loaded__,
0,0,4,1464635680915534501,1464635678023,__page_loaded__,
0,0,3,1464635681256236625,1464635678364,__page_loaded__,
0,1,2,1464635681419101136,1464635678531,_at_barrier,_on_load_0
0,1,1,1464635681424562102,1464635678534,_at_barrier,_on_load_0
0,1,4,1464635681424669604,1464635678532,_at_barrier,_on_load_0
0,1,3,1464635681424799872,1464635678534,_at_barrier,_on_load_0
0,0,2,1464635681593686275,1464635678704,_next_period,
0,1,2,1464635681759234533,1464635678868,_accumulated_points,0
1,0,2,1464635681761086689,1464635678868,__set_period__,"{""period"": 1}"
1,0,2,1464635681928207428,1464635679036,__set_page__,"{""page"": ""Start""}"
0,0,1,1464635682419648842,1464635679528,_next_period,
0,0,4,1464635682419844223,1464635679527,_next_period,
0,0,3,1464635682420008415,1464635679527,_next_period,
0,1,1,1464635682588372353,1464635679696,_accumulated_points,0
1,0,1,1464635682588542616,1464635679696,__set_period__,"{""period"": 1}"
0,1,3,1464635682588841466,1464635679698,_accumulated_points,0
0,1,4,1464635682593691624,1464635679697,_accumulated_points,0
1,0,4,1464635682593850177,1464635679697,__set_period__,"{""period"": 1}"
1,0,3,1464635682594054203,1464635679699,__set_period__,"{""period"": 1}"
1,0,1,1464635682760213915,1464635679866,__set_page__,"{""page"": ""Start""}"
1,0,3,1464635682766204081,1464635679876,__set_page__,"{""page"": ""Start""}"
1,0,4,1464635682766383419,1464635679874,__set_page__,"{""page"": ""Start""}"
1,0,2,1464635683481412208,1464635680593,__page_loaded__,
1,0,3,1464635684923727285,1464635682032,__page_loaded__,
1,0,1,1464635685272177894,1464635682383,__page_loaded__,
1,0,4,1464635685940760278,1464635683048,__page_loaded__,
1,1,1,1464635686111074172,1464635683216,_at_barrier,_on_load_1
1,1,3,1464635686111245866,1464635683216,_at_barrier,_on_load_1
1,1,2,1464635686124722374,1464635683230,_at_barrier,_on_load_1
1,1,4,1464635686124859546,1464635683231,_at_barrier,_on_load_1
1,1,2,1464635686312330688,1464635683413,LOG_CONFIG,"{""q1"": "".66"", ""mu"": 100, ""maxX"": 10, ""q2"": "".33"", ""ymax"": 1000, ""period_length_s"": 30, ""payoff"": ""stable"", ""period"": 1, ""payoffProjection"": true, ""minX"": 0, ""ymin"": 0, ""step"": 0.1, ""hidePayoffs"": true, ""groups"": [[1, 2, 3, 4], [5, 6, 7, 8]], ""snap"": 0, ""payoffLabel"": ""A"", ""initialActions"": ""[.25,.5,.75,1,1.25,1.5,1.75]"", ""adjustAccuracy"": 0.01, ""actionHistory"": true, ""num_sub_periods"": 5}"
1,1,1,1464635686378084740,1464635683487,_at_barrier,_timer_1_t_0_1
1,1,2,1464635686393708243,1464635683503,_at_barrier,_timer_1_t_0_1
1,1,3,1464635686415244200,1464635683521,_at_barrier,_timer_1_t_0_1
1,1,4,1464635686424757372,1464635683531,_at_barrier,_timer_1_t_0_1
1,1,4,1464635686590123601,1464635683699,endofsubperiod,{}
1,1,4,1464635686590409389,1464635683699,__set_points__,"{""points"": 13.2, ""period"": 1}"
1,1,1,1464635686596446769,1464635683704,endofsubperiod,{}
1,1,1,1464635686596736829,1464635683704,__set_points__,"{""points"": 6.6, ""period"": 1}"
1,1,3,1464635686597031491,1464635683704,endofsubperiod,{}
1,1,3,1464635686597280119,1464635683704,__set_points__,"{""points"": 13.2, ""period"": 1}"
1,1,1,1464635686601307871,1464635683706,state,"{""state"": [{""target"": 0.25, ""subjectid"": 4, ""rank"": 1, ""action"": 1, ""subperiodNumber"": 0, ""payoff"": 33}, {""target"": 0.5, ""subjectid"": 3, ""rank"": 2, ""action"": 0.75, ""subperiodNumber"": 0, ""payoff"": 55.00000000000001}, {""target"": 0.75, ""subjectid"": 2, ""rank"": 3, ""action"": 0.5, ""subperiodNumber"": 0, ""payoff"": 66}, {""target"": 1, ""subjectid"": 1, ""rank"": 4, ""action"": 0.25, ""subperiodNumber"": 0, ""payoff"": 66}]}"
1,1,1,1464635686601778473,1464635683706,actions,"{""actions"": [0.25, 0.5, 0.75, 1]}"
1,1,1,1464635686602095259,1464635683706,targets,"{""targets"": [0.25, 0.5, 0.75, 1]}"
1,1,2,1464635686606426240,1464635683717,endofsubperiod,{}
1,1,2,1464635686606566316,1464635683717,__set_points__,"{""points"": 11.000000000000002, ""period"": 1}"
1,1,1,1464635686799554507,1464635683906,_at_barrier,_timer_1_t_1_1
1,1,3,1464635686965063111,1464635684076,_at_barrier,_timer_1_t_1_1
1,1,4,1464635686965216851,1464635684075,_at_barrier,_timer_1_t_1_1
1,1,2,1464635686985812560,1464635684092,_at_barrier,_timer_1_t_1_1
1,1,1,1464635687354219765,1464635684462,_at_barrier,_timer_1_t_2_1
1,1,2,1464635687415909507,1464635684527,_at_barrier,_timer_1_t_2_1
1,1,4,1464635687416053795,1464635684525,_at_barrier,_timer_1_t_2_1
1,1,3,1464635687416179902,1464635684526,_at_barrier,_timer_1_t_2_1
1,1,1,1464635687781804649,1464635684893,_at_barrier,_timer_1_t_3_1
1,1,4,1464635687946598829,1464635685056,_at_barrier,_timer_1_t_3_1
1,1,3,1464635687951217034,1464635685060,_at_barrier,_timer_1_t_3_1
1,1,2,1464635687960327651,1464635685072,_at_barrier,_timer_1_t_3_1
1,1,1,1464635688328797582,1464635685436,_at_barrier,_timer_1_t_4_1
1,1,2,1464635688419533236,1464635685528,_at_barrier,_timer_1_t_4_1
1,1,3,1464635688419802897,1464635685528,_at_barrier,_timer_1_t_4_1
1,1,4,1464635688420045039,1464635685526,_at_barrier,_timer_1_t_4_1
1,1,1,1464635688785727685,1464635685897,_at_barrier,_timer_1_t_5_1
1,1,4,1464635688948373037,1464635686059,_at_barrier,_timer_1_t_5_1
1,1,3,1464635688953721631,1464635686062,_at_barrier,_timer_1_t_5_1
